Plan Name,,Breakfast,,,,,Snack#1,,,,,Lunch,,,,,Snack#2,,,,,Dinner,,,,,Observations,,,,,,,,,,,,,
Weight Loss,Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Total Day Calories,Calories Burn,,,,,,,,,,,,
,11,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,,,,,120gm,Chicken Karahi,1,Wheat Roti,426,1716,2240,,,,,,,,,,,,
,12,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,130gm,Beef Qorma,1,Wheat Roti,449,1666,2240,,,,,,,,,,,,
,13,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,150gm,Achar Gosh,1,Wheat Roti,570,1754,2240,,,,,,,,,,,,
,14,100gm,Keema Aalo,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,200gm,Pan Fried Fish,1,Wheat Roti,480,1810,2240,,,,,,,,,,,,
,15,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,200gm ,Beef Pulao,1,Raita,650,1,,,,,150gm,Daal Gosht,1,Wheat Roti,466,1740,2240,,,,,,,,,,,,
,16,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,200gm,Koftay,1,Wheat Roti,520,1676,2240,,,,,,,,,,,,
,17,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,120gm,Alo Gosht,200gm ,White rice,495,1835,2240,,,,,,,,,,,,
,18,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,150gm,Daal Gosht,1,Wheat Roti,466,1800,2240,,,,,,,,,,,,
,19,100gm,Keema Aalo,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,,,,,100gm ,Pasanday,1,Wheat Roti,442,1706,2240,,,,,,,,,,,,
,20,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,200gm,Pan Fried Fish,1,Wheat Roti,480,1682,2200,,,,,,,,,,,,
,21,1,Chapli kabab,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,200gm,Koftay,1,Wheat Roti,520,1740,2200,,,,,,,,,,,,
,22,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,130gm,Beef Qorma,1,Wheat Roti,449,1835,2200,,,,,,,,,,,,
,23,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,120gm,Beef nihari,1,Wheat Roti,456,1764,2200,,,,,,,,,,,,
,24,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,200gm ,Beef Pulao,1,Raita,650,1,,,,,240gm,Chicken Karahi,2,Wheat Roti,852,1686,2200,,,,,,,,,,,,
,25,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,150gm,Daal Gosht,1,Wheat Roti,466,2107,2200,,,,,,,,,,,,
,26,100gm,Keema Aalo,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,100gm ,Pasanday,1,Wheat Roti,442,1736,2200,,,,,,,,,,,,
,27,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,150gm,Achar Gosh,1,Wheat Roti,570,1747,2200,,,,,,,,,,,,
,28,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,,,,,120gm,Chicken Karahi,1,Wheat Roti,426,1875,2200,,,,,,,,,,,,
,29,100gm,Keema Aalo,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,120gm,Alo Gosht,200gm ,White rice,495,1636,2200,,,,,,,,,,,,
,30,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,120gm,Beef nihari,1,Wheat Roti,456,1755,2200,,,,,,,,,,,,
,Total,,,,Total Breakfast,,,,,,,,,,,Total Lunch,,,,,,,,,,Total Dinner,1726,2200,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,52661,66752,,,,,,,,,,,,
